Epoch,Beta,Time_s,Train_Total_Loss,Train_Recon_MSE,Train_Active_SmoothL1,Train_Contact_Focal,Train_KLD_Loss,Train_Raw_KLD_Loss,Train_Gate_Balance,Val_Recon_MSE,Val_Active_SmoothL1,Val_Contact_Focal,Val_Contact_Micro_F1,Val_Contact_Macro_F1,Val_Contact_Micro_Precision,Val_Contact_Micro_Recall,Val_F1_Pelvis,Val_F1_Spine,Val_F1_Right_Hand,Val_F1_Left_Hand,Val_F1_Right_Foot,Val_F1_Left_Foot,Grad_Norm,Gate_Exp_1,Gate_Exp_2,Gate_Exp_3
33,0.00100,1320.17,0.011206,0.000721,0.000559,0.000631,0.640419,0.277428,0.420536,0.002075,0.002895,0.001742,0.909148,0.881287,0.834939,0.997837,0.966238,0.847963,0.787388,0.850680,0.939918,0.895537,inf,0.0838,0.8624,0.0538
34,0.00100,1325.86,0.011184,0.000710,0.000557,0.000623,0.640405,0.275788,0.420406,0.001899,0.002233,0.001591,0.914262,0.880614,0.843359,0.998182,0.954044,0.827053,0.802396,0.849962,0.945192,0.905037,inf,0.0838,0.8623,0.0539
35,0.00100,1323.12,0.011141,0.000693,0.000546,0.000613,0.640378,0.273248,0.420478,0.002243,0.006082,0.004512,0.941176,0.895581,0.919193,0.964236,0.973736,0.828071,0.805734,0.851081,0.962234,0.952629,inf,0.0836,0.8624,0.0540
36,0.00100,1320.42,0.011144,0.000694,0.000542,0.000614,0.640384,0.277113,0.420906,0.001559,0.003542,0.001963,0.951202,0.901788,0.918447,0.986379,0.964846,0.839228,0.814651,0.852673,0.963087,0.976244,inf,0.0834,0.8626,0.0539
37,0.00100,1301.41,0.011151,0.000692,0.000545,0.000614,0.640349,0.271680,0.421090,0.001468,0.003265,0.001853,0.950447,0.908858,0.913596,0.990396,0.965299,0.886351,0.814469,0.854901,0.956604,0.975527,inf,0.0834,0.8627,0.0539
38,0.00100,1299.83,0.011123,0.000672,0.000535,0.000600,0.640346,0.272188,0.422125,0.001518,0.003421,0.001824,0.955008,0.904828,0.923187,0.989101,0.975938,0.849031,0.814404,0.842405,0.970585,0.976605,inf,0.0828,0.8634,0.0538
39,0.00100,1304.72,0.011090,0.000670,0.000531,0.000599,0.640346,0.273649,0.420886,0.001893,0.002977,0.001786,0.932276,0.892644,0.876453,0.995694,0.960245,0.845565,0.808207,0.849403,0.967625,0.924822,inf,0.0833,0.8626,0.0541
40,0.00100,1311.22,0.011065,0.000662,0.000529,0.000595,0.640346,0.271472,0.420395,0.001330,0.001658,0.001266,0.940663,0.895130,0.890336,0.997021,0.966202,0.830086,0.815722,0.845725,0.962725,0.950318,inf,0.0836,0.8623,0.0541
41,0.00100,1317.27,0.011062,0.000656,0.000525,0.000591,0.640304,0.271011,0.420981,0.001253,0.001808,0.001212,0.945541,0.898168,0.899320,0.996771,0.967230,0.840802,0.816253,0.839350,0.961634,0.963736,inf,0.0834,0.8627,0.0539
42,0.00100,1324.63,0.011030,0.000646,0.000518,0.000585,0.640344,0.270853,0.420787,0.002076,0.005524,0.003523,0.946624,0.897362,0.923126,0.971350,0.956717,0.835276,0.806578,0.855169,0.967176,0.963257,inf,0.0834,0.8625,0.0540
43,0.00100,1324.43,0.011013,0.000642,0.000515,0.000582,0.640315,0.266997,0.420499,0.002119,0.003158,0.001891,0.913179,0.886375,0.842251,0.997152,0.969628,0.844166,0.812660,0.848476,0.953629,0.889695,inf,0.0836,0.8624,0.0540
44,0.00100,1324.23,0.011011,0.000647,0.000515,0.000587,0.640301,0.269514,0.419937,0.002387,0.003431,0.002281,0.901905,0.883768,0.823636,0.996612,0.969380,0.839751,0.829671,0.852106,0.926975,0.884722,inf,0.0838,0.8620,0.0542
